date,location,state,latitude,longitude,rainfall_mm,source
2020-01-10,Bayelsa,Bayelsa,4.7719,6.0699,0.0,CHIRPS-2.0
2020-01-10,Adamawa,Adamawa,9.3265,12.3984,0.0,CHIRPS-2.0
2020-01-10,Ibadan,Oyo,7.3775,3.947,0.0,CHIRPS-2.0
2020-01-10,Abuja,FCT,9.0765,7.4951,0.0,CHIRPS-2.0
2020-01-11,Lagos,Lagos,6.5244,3.3792,0.0,CHIRPS-2.0
2020-01-11,Port Harcourt,Rivers,4.8156,7.0498,0.0,CHIRPS-2.0
2020-01-11,Kano,Kano,12.0022,8.5919,0.0,CHIRPS-2.0
2020-01-11,Lokoja,Kogi,7.7989,6.7397,0.0,CHIRPS-2.0
2020-01-11,Makurdi,Benue,7.7336,8.5219,0.0,CHIRPS-2.0
2020-01-11,Warri,Delta,5.516,5.75,3.4964890480041504,CHIRPS-2.0
2020-01-11,Bayelsa,Bayelsa,4.7719,6.0699,6.374531269073486,CHIRPS-2.0
2020-01-11,Adamawa,Adamawa,9.3265,12.3984,0.0,CHIRPS-2.0
2020-01-11,Ibadan,Oyo,7.3775,3.947,0.0,CHIRPS-2.0
2020-01-11,Abuja,FCT,9.0765,7.4951,0.0,CHIRPS-2.0
2020-01-12,Lagos,Lagos,6.5244,3.3792,0.0,CHIRPS-2.0
2020-01-12,Port Harcourt,Rivers,4.8156,7.0498,0.0,CHIRPS-2.0
2020-01-12,Kano,Kano,12.0022,8.5919,0.0,CHIRPS-2.0
2020-01-12,Lokoja,Kogi,7.7989,6.7397,0.0,CHIRPS-2.0
2020-01-12,Makurdi,Benue,7.7336,8.5219,0.0,CHIRPS-2.0
2020-01-12,Warri,Delta,5.516,5.75,0.0,CHIRPS-2.0
2020-01-12,Bayelsa,Bayelsa,4.7719,6.0699,0.0,CHIRPS-2.0
2020-01-12,Adamawa,Adamawa,9.3265,12.3984,0.0,CHIRPS-2.0
2020-01-12,Ibadan,Oyo,7.3775,3.947,0.0,CHIRPS-2.0
2020-01-12,Abuja,FCT,9.0765,7.4951,0.0,CHIRPS-2.0
2020-01-13,Lagos,Lagos,6.5244,3.3792,4.639296054840088,CHIRPS-2.0
2020-01-13,Port Harcourt,Rivers,4.8156,7.0498,0.0,CHIRPS-2.0
2020-01-13,Kano,Kano,12.0022,8.5919,0.0,CHIRPS-2.0
2020-01-13,Lokoja,Kogi,7.7989,6.7397,0.0,CHIRPS-2.0
2020-01-13,Makurdi,Benue,7.7336,8.5219,0.0,CHIRPS-2.0
2020-01-13,Warri,Delta,5.516,5.75,0.0,CHIRPS-2.0
2020-01-13,Bayelsa,Bayelsa,4.7719,6.0699,0.0,CHIRPS-2.0
2020-01-13,Adamawa,Adamawa,9.3265,12.3984,0.0,CHIRPS-2.0
2020-01-13,Ibadan,Oyo,7.3775,3.947,0.0,CHIRPS-2.0
2020-01-13,Abuja,FCT,9.0765,7.4951,0.0,CHIRPS-2.0
2020-01-14,Lagos,Lagos,6.5244,3.3792,0.0,CHIRPS-2.0
2020-01-14,Port Harcourt,Rivers,4.8156,7.0498,0.0,CHIRPS-2.0
2020-01-14,Kano,Kano,12.0022,8.5919,0.0,CHIRPS-2.0
2020-01-14,Lokoja,Kogi,7.7989,6.7397,0.0,CHIRPS-2.0
2020-01-14,Makurdi,Benue,7.7336,8.5219,0.0,CHIRPS-2.0
